invoice_id,stock_code,description,quantity,invoice_date,unit_price,customer_id,country,total_amount
503546,20727,LUNCH BAG  BLACK SKULL.,10,2010-04-01 14:51:00,1.65,16351.0,United Kingdom,16.5
538508,21584,RETROSPOT SMALL TUBE MATCHES,6,2010-12-12 13:32:00,1.65,15998.0,United Kingdom,9.899999999999999
555586,22595,GINGHAM HEART DECORATION,12,2011-06-06 09:12:00,0.85,14232.0,United Kingdom,10.2
527890,22714,CARD BIRTHDAY COWBOY,12,2010-10-19 12:15:00,0.42,17365.0,United Kingdom,5.04
546005,85194L,HANGING SPRING FLOWER EGG LARGE,12,2011-03-08 15:17:00,0.85,14426.0,United Kingdom,10.2
531736,22121,NOEL WOODEN BLOCK LETTERS ,3,2010-11-09 12:29:00,5.95,14243.0,United Kingdom,17.85
546679,20974,12 PENCILS SMALL TUBE SKULL,3,2011-03-15 16:47:00,0.65,13121.0,United Kingdom,1.9500000000000002
555501,23172,REGENCY TEA PLATE PINK,3,2011-06-03 15:37:00,1.65,15508.0,United Kingdom,4.949999999999999
512889,21899,"KEY FOB , GARAGE DESIGN",5,2010-06-18 12:04:00,0.65,16797.0,United Kingdom,3.25
523195,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,100,2010-09-21 08:25:00,1.65,13802.0,United Kingdom,165.0
560555,22979,PANTRY WASHING UP BRUSH,1,2011-07-19 13:01:00,1.45,14178.0,United Kingdom,1.45
534219,35957,SMALLFOLKART BAUBLE CHRISTMAS DEC,1,2010-11-21 16:13:00,0.42,13230.0,United Kingdom,0.42
550784,23184,BULL DOG BOTTLE OPENER,4,2011-04-20 13:59:00,4.95,13269.0,United Kingdom,19.8
526753,82484,WOOD BLACK BOARD ANT WHITE FINISH,3,2010-10-13 10:12:00,6.45,13267.0,United Kingdom,19.35
565853,22030,SWALLOWS GREETING CARD,12,2011-09-07 13:19:00,0.42,13756.0,United Kingdom,5.04
499284,22317,FIVE CATS HANGING DECORATION,6,2010-02-25 18:58:00,2.95,14770.0,United Kingdom,17.700000000000003
537440,22503,CABIN BAG VINTAGE PAISLEY,1,2010-12-06 17:16:00,29.95,17869.0,United Kingdom,29.95
494897,20749,ASSORTED COLOUR MINI CASES,4,2010-01-19 14:16:00,7.95,12437.0,France,31.8
497382,21537,RETRO SPOTS PUDDING BOWL,1,2010-02-09 11:50:00,4.25,14680.0,United Kingdom,4.25
512807,22583,PACK OF 6 HANDBAG GIFT BOXES,2,2010-06-18 11:21:00,2.55,14646.0,Netherlands,5.1
509410,22563,HAPPY STENCIL CRAFT,6,2010-05-23 12:07:00,1.25,17769.0,United Kingdom,7.5
512422,21829,DINOSAUR KEYRINGS ASSORTED,36,2010-06-15 14:33:00,0.21,13477.0,United Kingdom,7.56
553038,23191,BUNDLE OF 3 RETRO NOTE BOOKS,12,2011-05-13 08:11:00,1.65,12471.0,Germany,19.799999999999997
550350,22197,SMALL POPCORN HOLDER,12,2011-04-18 10:04:00,0.85,15491.0,United Kingdom,10.2
541256,22730,ALARM CLOCK BAKELIKE IVORY,2,2011-01-16 14:36:00,3.75,13048.0,United Kingdom,7.5
504631,22406,MONEY BOX KINGS CHOICE DESIGN,12,2010-04-15 12:55:00,1.25,13647.0,United Kingdom,15.0
531792,22585,PACK OF 6 BIRDY GIFT TAGS,6,2010-11-09 15:20:00,1.25,14899.0,United Kingdom,7.5
522950,22691,DOORMAT WELCOME SUNRISE,1,2010-09-19 10:33:00,7.95,13542.0,United Kingdom,7.95
549927,16156S,WRAP PINK FAIRY CAKES ,400,2011-04-13 10:19:00,0.34,16684.0,United Kingdom,136.0
565443,22341,LOVE GARLAND PAINTED ZINC ,12,2011-09-04 14:22:00,1.65,12567.0,France,19.799999999999997
571054,85032B,BLOSSOM IMAGES GIFT WRAP SET,1,2011-10-13 13:58:00,0.65,14234.0,United Kingdom,0.65
577308,22423,REGENCY CAKESTAND 3 TIER,2,2011-11-18 13:14:00,12.75,15088.0,United Kingdom,25.5
518260,48187,DOORMAT NEW ENGLAND,2,2010-08-05 18:18:00,7.49,17049.0,United Kingdom,14.98
536381,84854,GIRLY PINK TOOL SET,5,2010-12-01 09:41:00,4.95,15311.0,United Kingdom,24.75
522501,15056N,EDWARDIAN PARASOL NATURAL,60,2010-09-15 11:07:00,4.95,15039.0,United Kingdom,297.0
503933,22217,T-LIGHT HOLDER HANGING LACE,12,2010-04-08 13:54:00,1.25,18065.0,United Kingdom,15.0
542303,21843,RED RETROSPOT CAKE STAND,1,2011-01-27 11:05:00,10.95,12539.0,Spain,10.95
578791,22055,MINI CAKE STAND  HANGING STRAWBERY,1,2011-11-25 12:20:00,1.65,12841.0,United Kingdom,1.65
545023,22464,HANGING METAL HEART LANTERN,12,2011-02-25 14:25:00,1.65,12921.0,United Kingdom,19.799999999999997
526197,22905,CALENDAR IN SEASON DESIGN,2,2010-10-10 12:53:00,2.95,17757.0,United Kingdom,5.9
569630,20727,LUNCH BAG  BLACK SKULL.,10,2011-10-05 11:44:00,1.65,13458.0,United Kingdom,16.5
552108,21756,BATH BUILDING BLOCK WORD,1,2011-05-06 11:36:00,5.95,17841.0,United Kingdom,5.95
560872,21868,POTTING SHED TEA MUG,24,2011-07-21 14:41:00,1.25,14745.0,United Kingdom,30.0
546752,22501,PICNIC BASKET WICKER LARGE,6,2011-03-16 12:55:00,9.95,13299.0,United Kingdom,59.699999999999996
533759,22572,ROCKING HORSE GREEN CHRISTMAS ,24,2010-11-18 14:45:00,0.85,14911.0,EIRE,20.4
569493,22690,DOORMAT HOME SWEET HOME BLUE ,2,2011-10-04 13:35:00,8.25,13317.0,United Kingdom,16.5
578129,21264,WHITE GOOSE FEATHER TREE 60CM ,12,2011-11-23 10:39:00,1.95,13502.0,United Kingdom,23.4
526375,22157,ANGEL DECORATION WITH LACE PADDED,24,2010-10-11 12:26:00,0.85,18245.0,United Kingdom,20.4
489599,85099B,JUMBO BAG RED WHITE SPOTTY ,30,2009-12-01 14:40:00,1.95,12758.0,Portugal,58.5
508211,21713,CITRONELLA CANDLE FLOWERPOT,48,2010-05-13 14:42:00,0.85,15210.0,United Kingdom,40.8
490008,22031,BOTANICAL LAVENDER BIRTHDAY CARD,12,2009-12-03 12:10:00,0.42,15768.0,United Kingdom,5.04
524972,22637,PIGGY BANK RETROSPOT ,6,2010-10-01 14:57:00,2.55,13849.0,United Kingdom,15.299999999999999
560018,22332,SKULLS PARTY BAG + STICKER SET,3,2011-07-14 12:52:00,1.65,15987.0,United Kingdom,4.949999999999999
558100,22690,DOORMAT HOME SWEET HOME BLUE ,1,2011-06-26 13:46:00,7.95,17768.0,United Kingdom,7.95
545075,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,2011-02-28 09:33:00,0.85,14211.0,United Kingdom,10.2
519343,21278,VINTAGE KITCHEN PRINT PUDDINGS,6,2010-08-16 12:12:00,2.55,12687.0,Sweden,15.299999999999999
541883,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,24,2011-01-24 10:56:00,1.25,13408.0,United Kingdom,30.0
539988,22568,FELTCRAFT CUSHION OWL,1,2010-12-23 16:06:00,3.75,18116.0,United Kingdom,3.75
535875,85099F,JUMBO BAG STRAWBERRY,10,2010-11-29 10:50:00,1.95,15747.0,United Kingdom,19.5
566620,22748,POPPY'S PLAYHOUSE KITCHEN,6,2011-09-14 09:21:00,2.1,13588.0,United Kingdom,12.600000000000001
554355,22624,IVORY KITCHEN SCALES,2,2011-05-24 09:20:00,8.5,16992.0,United Kingdom,17.0
574896,23398,HANGING HEART BONHEUR,4,2011-11-07 14:51:00,0.85,17014.0,United Kingdom,3.4
570664,21463,MIRRORED DISCO BALL ,1,2011-10-11 14:21:00,5.95,16362.0,United Kingdom,5.95
497894,82578,KITCHEN METAL SIGN,4,2010-02-14 12:36:00,0.55,15425.0,United Kingdom,2.2
572306,20735,BLACK MINI TAPE MEASURE ,2,2011-10-23 15:11:00,0.85,17841.0,United Kingdom,1.7
525472,21882,SKULLS TAPE,12,2010-10-05 15:15:00,0.65,16129.0,United Kingdom,7.800000000000001
501038,72741,GRAND CHOCOLATECANDLE,9,2010-03-12 09:21:00,1.25,17448.0,United Kingdom,11.25
550312,82482,WOODEN PICTURE FRAME WHITE FINISH,24,2011-04-17 11:18:00,2.55,13089.0,United Kingdom,61.199999999999996
526873,20725,LUNCH BAG RED RETROSPOT,10,2010-10-13 14:12:00,1.65,12921.0,United Kingdom,16.5
536987,22961,JAM MAKING SET PRINTED,1,2010-12-03 14:54:00,1.45,17198.0,United Kingdom,1.45
