isbn,title,author,amazon_price,amazon_rating,flipkart_price,flipkart_rating
9351772624,The Wellness Sense: A Practical Guide to your Physical and Emotional Health Based...,by Om Swami,178,4.8,178,4.5
1786481324,The Digital Photography Handbook: An Illustrated Step-by-step Guide,by Doug Harman - Import,437,4.0,449, 
9387504832,Oswaal CBSE Question Bank Class 9 Science Chapterwise and Topicwise (For March...,by Oswaal Editorial Board,295,4.6,265,4.4
9350297515,A Feast of Vultures: The Hidden Business of Democracy in India,by Josy Joseph,522,4.5,599,4.5
9352770145,I Do What I Do,by Raghuram G. Rajan,363,4.3,436,4.6
8129118920,Great Stories for Children,by Ruskin Bond,182,4.4,118,4.4
9382618341,The Oath of the Vayuputras (Shiva Trilogy),by Amish Tripathi,282,4.4,282,4.4
9387516881,Xam Idea Complete Course Social Science Class 10 for 2019 Exam,by VK Global Publications,344,4.2,324,4.4
8172238975,My Story,by Kamala Das,178,4.5,178,4.3
1501124021,Principles: Life and Work,by Ray Dalio,864,4.4,733,4.8
9385152149,Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated...,by Amish Tripathi,240,4.1,240,4.4
8172344562,The Great Gatsby,F. Scott Fitzgerald,47,4.1 out of 5 stars,142,4.4
8193876717,Mothering A Muslim,by Nazia Erum,162,,162,3.7
8172343116,Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,by Mahatma Gandhi,99,4.4,166,4.5
8129118920,Great Stories for Children,by Ruskin Bond,182,4.4,118,4.4
8173711461,Wings of Fire: An Autobiography of Abdul Kalam,Not Available,194,4.6 out of 5 stars,265,4.6
9386224585,Sita: Warrior of Mithila (Ram Chandra),by Amish Tripathi,226,4.3,226,4.6
1451696191,The Perks of Being a Wallflower,by Stephen Chbosky,186,4.4,186,4.5
8170289262,Inspiring Thoughts (Inspiring Thoughts Quotation Series),by Swami Vivekanand,107,4.2,107,4.1
8183225454,Meditation and Its Practice,by Swami Rama,81,4.5,88,4
8192910903,1984,George Orwell,88,4.4 out of 5 stars,99,4.5
8183225039,How to Get From Where You Are to Where You Want to be,by Jack Canfield,255,4.4,265,4.6
9352864964,Legal Awareness and Legal Reasoning: For CLAT and Other Law Entrance Examinations...,by A. P. Bhardwaj,412,4.4,412,4.5
1583333002,"Prevent and Reverse Heart Disease: The Revolutionary, Scientifically Proven,...",by Caldwell B. Esselstyn Jr. M.D.,499,4.3,651,4.8
8184951191,The Leader Who Had No Title,by Robin Sharma,189,4.4,160,4.4
8129137704,My Gita,by Devdutt Pattanaik - Special Edition,153,4.2,170,4.5
