work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category
2023,Mid-level,Full-time,Business Intelligence Engineer,79600,USD,79600,United States,In-person,United States,L,BI and Visualization
2023,Senior,Full-time,Machine Learning Engineer,255360,USD,255360,United States,In-person,United States,M,Machine Learning and AI
2023,Executive,Full-time,Head of Data,142200,USD,142200,United States,In-person,United States,M,Leadership and Management
2023,Senior,Full-time,Data Analyst,116000,USD,116000,United States,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Data Scientist,161000,USD,161000,United States,Remote,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Scientist,120000,USD,120000,United States,In-person,United States,M,Data Science and Research
2024,Entry-level,Full-time,Data Analyst,105000,USD,105000,United States,In-person,United States,M,Data Analysis
2024,Entry-level,Full-time,Data Engineer,115000,USD,115000,United States,Remote,United States,M,Data Engineering
2023,Senior,Full-time,Applied Scientist,260000,USD,260000,United States,In-person,United States,L,Data Science and Research
2023,Senior,Full-time,Data Scientist,140000,USD,140000,United States,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,160000,USD,160000,United States,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Data Engineer,82673,USD,82673,United States,Remote,United States,M,Data Engineering
2022,Mid-level,Full-time,Data Engineer,75000,GBP,92350,United Kingdom,Remote,United Kingdom,M,Data Engineering
2024,Senior,Full-time,Data Scientist,93300,USD,93300,United States,In-person,United States,M,Data Science and Research
2022,Senior,Full-time,Data Engineer,106800,USD,106800,United States,In-person,United States,M,Data Engineering
2023,Entry-level,Full-time,Data Engineer,60000,USD,60000,United States,Remote,United States,M,Data Engineering
2023,Senior,Full-time,Data Architect,250500,USD,250500,United States,In-person,United States,M,Data Architecture and Modeling
2023,Mid-level,Full-time,Data Analytics Manager,110000,USD,110000,United States,In-person,United States,M,Leadership and Management
2023,Senior,Full-time,Machine Learning Engineer,247500,USD,247500,United States,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Applied Scientist,136000,USD,136000,United States,In-person,United States,L,Data Science and Research
2023,Mid-level,Full-time,Data Engineer,106700,USD,106700,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Business Intelligence Developer,110600,USD,110600,United States,In-person,United States,M,BI and Visualization
2023,Senior,Full-time,Data Engineer,208200,USD,208200,United States,Remote,United States,M,Data Engineering
2022,Senior,Full-time,Data Scientist,119300,USD,119300,United States,In-person,United States,L,Data Science and Research
2023,Senior,Full-time,Machine Learning Engineer,226600,USD,226600,United States,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Engineer,226700,USD,226700,United States,In-person,United States,M,Data Engineering
2022,Senior,Full-time,Analytics Engineer,130000,USD,130000,United States,Remote,United States,M,Leadership and Management
2024,Mid-level,Full-time,Data Scientist,154500,USD,154500,United States,In-person,United States,M,Data Science and Research
2023,Mid-level,Full-time,Data Scientist,172200,USD,172200,United States,Remote,United States,M,Data Science and Research
2024,Senior,Full-time,Data Architect,175000,USD,175000,United States,In-person,United States,M,Data Architecture and Modeling
2023,Senior,Full-time,Computer Vision Engineer,215000,USD,215000,United States,In-person,United States,M,Machine Learning and AI
2022,Entry-level,Full-time,Machine Learning Engineer,189750,USD,189750,United States,In-person,United States,M,Machine Learning and AI
2022,Senior,Full-time,Data Architect,225000,USD,225000,United States,Remote,United States,M,Data Architecture and Modeling
2023,Mid-level,Full-time,Business Intelligence Developer,110000,USD,110000,United States,Remote,United States,M,BI and Visualization
2024,Senior,Full-time,Machine Learning Engineer,60000,USD,60000,Brazil,Remote,Brazil,M,Machine Learning and AI
2023,Mid-level,Full-time,Data Analyst,115950,USD,115950,United States,In-person,United States,M,Data Analysis
2024,Mid-level,Full-time,Data Scientist,75705,USD,75705,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Engineer,275000,USD,275000,United States,Remote,United States,M,Data Engineering
2024,Senior,Full-time,Computer Vision Engineer,235000,USD,235000,United States,In-person,United States,M,Machine Learning and AI
2023,Mid-level,Full-time,Data Scientist,157000,USD,157000,United States,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Machine Learning Engineer,240000,USD,240000,United States,Remote,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Scientist,250000,USD,250000,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Machine Learning Engineer,106900,USD,106900,United States,In-person,United States,M,Machine Learning and AI
2024,Entry-level,Full-time,Data Analyst,75000,EUR,83333,France,In-person,France,M,Data Analysis
2022,Entry-level,Full-time,Data Scientist,82000,USD,82000,United States,In-person,United States,L,Data Science and Research
2023,Senior,Full-time,Research Engineer,140000,USD,140000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,AI Architect,132500,USD,132500,United States,In-person,United States,M,Machine Learning and AI
2023,Mid-level,Full-time,Data Engineer,170884,USD,170884,United States,Remote,United States,M,Data Engineering
2023,Senior,Full-time,Data Analyst,135000,USD,135000,United States,In-person,United States,M,Data Analysis
2022,Entry-level,Full-time,Data Scientist,80000,EUR,84053,Belgium,Remote,Belgium,L,Data Science and Research
