job_title,company,job_location,job_level,job_type,job_skills
Data Scientist - Fulltime,"The Dignify Solutions, LLC","Raritan, NJ",Mid senior,Onsite,"Data Sciences, Machine Learning, Neural Net, Deep Learning, Natural Language Processing, Machine Translation, Language Detection, NLP, Phonology, Morphology, Syntax Recognition, Semantics, Pragmatics, Semantic Analysis, Distributional, Frame Based, Interactive Learning, Python, Tensor Flow, Java, Web/DB Development, Big Data, Complex Event Processing, Design Patterns, Technical Architectures"
Data Center Team Lead (Shift A),DB Schenker,"Lockbourne, OH",Mid senior,Onsite,"Data Center Operations, Inventory Management, Warehouse Management Systems, Server Racks, Cabling, Rack Hardware, Material Handling Equipment, Electrical Safety, Static Discharge Protocols, Critical Thinking, Analytical Skills, Computer Experience"
Lead Software Engineer - Data Analytics,ClickJobs.io,"Pickerington, OH",Mid senior,Onsite,"Software Engineering, Agile, Data Engineering, Software Design, Data Pipelines, Python, PySpark, Pandas, NumPy, Modern Analytics tools, Looker, Thoughtspot, Tableau, Quik Sense, Automation, Continuous Delivery, Software Development Life Cycle, AWS, Hive, Dremio, Impala, AI, Large Language Models, Databricks Lakehouse architecture, Highvolume relational data, Financial Services, Big data technologies"
Data Scientist II,The Trade Desk,"Bellevue, WA",Mid senior,Onsite,"Scala, Spark, Python, R, SQL, Machine learning, Time series, Simulation, Data analysis, Pattern mining, Visualization, Big data, Cloud computing, Hadoop, AWS, Privacysafe data storage, Measurement, Modeling, Bachelor's degree in Computer Science, Master's degree in Computer Science, 5 years of experience in datadriven role, 3 years of experience with: machine learning time series simulation programming in Scala Python R and SQL and data analysis pattern mining and visualization, 1 year of experience with: big data and cloud computing technologies including Spark Hadoop and AWS and privacysafe data storage measurement and modeling, Cryptographic theories, Economic theory of markets, Statistical properties of cryptographic data structures, Game theory, Probability, Statistics"
Data Intelligence Team Lead,Siemens Energy,"Olean, NY",Associate,Onsite,"SAP, ERP software (Oracle SAP etc.), Microsoft Office Suite (Word Excel Outlook PowerPoint), Siemens Energy products and services, Equipment structure development implementation and maintenance, Technical clarification team leadership, Technical training, Process improvement identification and implementation, Interpersonal and writing skills, Leadership, Communication skills, Problemsolving skills, Analytical skills, Organizational skills, Time management skills, Analytical skills, Ability to work independently and collaboratively, Ability to multitask and work under pressure, Ability to meet deadlines, Selfmotivation, Engineering or business administration degree"
"Engineering Manager, Document Database",Stripe,"San Francisco, CA",Mid senior,Onsite,"Software Development, Cloud Development, Cloud Management, Engineering Management, MongoDB, Distributed Systems, Database, Performance Tuning, Operational Experience, Hiring and Developing Teams, Open Source Databases, Remote Team Management, Distributed Team Management, CrossGeographical Collaboration"
Sentinel (GBSD) Integrated Functional Capability (IFC) Data Anal with Security Clearance,ClearanceJobs,"Roy, UT",Mid senior,Onsite,"Data Analytics, Software Metrics, Data Visualization, Automated Metrics, Key Performance Indicators (KPIs), Estimates at Complete (EAC), Data Requirements, Tools and Architecture, Microsoft Office (Word Excel PowerPoint), Agile Methodologies, Lean Methodologies, DevOps Methodologies, Integrated Functional Capability Process, Architecture and/or Model Based Engineering, DoD Secret Clearance, Team Leadership Experience, Program Integration, Operations, Execution, Program Level Metrics, Strategies for Change, Presentation Skills, Verbal and Written Communication Skills, Dynamic Environment, Bachelors Degree, Masters Degree, PhD Degree, US Citizenship"
"Manager, Data Loss Prevention (DLP) Engineer (Symantec)",Jobs for Humanity,"Kalamazoo, MI",Mid senior,Onsite,"Data Loss Prevention (DLP) Tools, Web Proxy, Email Security, Endpoint Security, Cyber Security Practices, Software Engineering Principles, Agile Frameworks, Customer Engagement, Collaboration, Communication, Project Management, Technical Delivery, Product Security, Software Development Practices, Platform Engineering, Operating Systems, Databases, Virtualization, Cloud Computing Environments, Networks, Troubleshooting, Investigation, Configuration, Support, Scripting, Cloud Security, MultiCloud Environments, IT Delivery Projects, Technical Writing, JIRA, CISSP, GIAC, CISM, CCSP, CISA, Security+, AWS Cloud Practitioner, AWS Solution Architect  Associate, AWS Developer  Associate, AWS Security  Specialty, AWS Solution Architect  Professional, PerformanceBased Incentive Compensation, Health Benefits, Financial Benefits, Other Benefits, Equal Opportunity Employer, DrugFree Workplace, Criminal Background Checks, Accommodation for Employment Opportunities"
SAP Material Master Data analyst,Wise Skulls,"Hillsboro, OR",Mid senior,Onsite,"SAP MM, SAP S/4, SAP MDG, ABAP, Agile, SAFe, Data modeling, Data conversion, Cutover, Production support, Incident management, Problem management, Performance analysis, Requirements gathering, Design, Testing, Configuration, Functional unit testing, FITGAP analysis, Data security, Nike standards, Crossfunctional collaboration, Regional coordination, Partner collaboration, Feasibility assessment, Architecture design, Tools and concepts, Ad hoc changes, Documentation, Functional testing, Bug fixing, Mock work, Data conversion, Golive, Incident management, Problem management, SAFe methodology, Report generation, Performance analysis, Bachelor's degree in IT Materials Management, 8+ years of experience in SAP Master Data, Domain and business process knowledge in SAP AFS or SAP Retail, SAP S/4 & SAP MDG implementation knowledge, Handson experience in SAP Material master implementation, SAP Material Master configuration knowledge in Materials Management, Programming knowledge (ABAP), Handson experience in using testing and Agile tools, Background/Experience in SAFe, Experience working on largescale global projects, Experience working with virtual teams and crossfunctional partners, Experience working with offshore/near shore team"
Data Scientist,Intellectt Inc,"Urbandale, IA",Mid senior,Onsite,"Data Science, Machine Learning, Python, Data Visualization, Data Modeling, Regression, Supervised Learning, Unsupervised Learning, Probabilistic Inference, Natural Language Modeling, Communication, R, JavaScript, Scala, Distributed Datasets, Data Structures, Simulations, Model Validation, Collaboration, Business Analytics, Advanced Data Visualization, Statistical Analysis, Randomized Testing, Predictive Modeling, Forecasting, Optimization, Experimental Design, Data Wrangling, Quantitative Analysis, Business Knowledge, Data Gathering, Statistical Analysis, Math, Economics, Statistics, Data Analytics, Data Mining, Statistical Tools"
