鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,縣市
新興區,房地(土地+建物)+車位,高雄市新興區中山一路１６號二十七樓之１０,3.91,都市：其他:第五種商業區,,,1091123,土地2建物1車位1,二十七層,三十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1150121,100.21000000000001,2,1,1,有,有,9780000,113121,坡道平面,26.13,1400000,另有讓渡預售屋、或土地及建物分件登記案件；,RPOOMLLJMHLGFBE47DA,44.79,0.0,3.46,有,,高雄市
鳳山區,房地(土地+建物),高雄市鳳山區北昌路３６號,17.64,住,,,1150403,土地1建物1車位0,一層，見其他登記事項,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1030221,98.51,1,1,2,有,有,14500000,147193,,0.0,0,附冷氣其他增建；,RPUNMLOLMHLGFGE98DA,63.26,0.0,2.19,有,0046,高雄市
太平區,房地(土地+建物)+車位,臺中市太平區環中東路四段６３號三樓之５,14.02,住,,,1150318,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100721,111.96000000000001,2,2,1,有,有,10380000,92712,坡道平面,31.08,0,,RPOOMLMLMHLGFJB28DA,46.66,1.47,7.09,有,0121,台中市
永和區,房地(土地+建物),新北市永和區雙和街２５巷７號四樓,38.39,住,,,1150402,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,Ｒ．Ｃ框造,0601209,101.18,3,2,1,有,無,16800000,166041,,0.0,0,陽台外推；頂樓加蓋；,RPQNMLRLMHLGFHF09DA,101.18,0.0,0.0,無,,新北市
西屯區,房地(土地+建物),臺中市西屯區工業區３７路３８號,1136.6,工,,,1150408,土地1建物1車位0,全,一層,透天厝,工業用,鋼造,0830502,796.36,0,0,0,無,無,144000000,180823,,0.0,0,其他增建；未登記建物；,RPOPMLNLMHLGFCB77DA,796.36,0.0,0.0,無,,台中市
湖口鄉,土地,中勢段363地號,862.75,農,,,1141224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2124300,2462,,0.0,0,農作物；,RPTNMLKLMHLGFDJ68DA,0.0,0.0,0.0,無,084,新竹縣
小港區,房地(土地+建物),高雄市小港區宏平路４３３號四樓之５,6.84,其他,,,1120331,土地1建物1車位0,四層,十八層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1150212,91.03999999999999,2,2,1,有,有,6850000,75242,,0.0,0,第一次讓渡日期114/03/24第二次讓渡日期115/03/25預售屋、或土地及建物分件登記案件；,RPOOMLOJNHLGFCE97DA,52.29,0.0,7.01,有,,高雄市
八德區,房地(土地+建物)+車位,桃園市八德區大和路６６號八樓,15.36,住,,,1150321,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960815,127.98,3,2,2,有,有,13400000,120133,坡道平面,31.42,1800000,陽台外推；,RPTOMLSJNHLGFFH86DA,64.21,2.06,6.26,有,0251,桃園市
龜山區,房地(土地+建物)+車位,桃園市龜山區興華一街３０１號六樓,23.4,住,,,1120626,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150114,122.82,2,1,2,有,有,14630000,142406,坡道平面,34.13,2000000,預售屋、或土地及建物分件登記案件；,RPSOMLNJNHLGFHH09DA,55.04,0.0,3.89,有,,桃園市
林園區,房地(土地+建物),高雄市林園區椰樹東巷３８弄８０號,114.0,其他,,,1150312,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1141110,247.71,4,2,5,有,無,18000000,72666,,0.0,0,,RPOOMLRJNHLGFLE56DA,229.83,0.0,17.88,有,,高雄市
小港區,土地,水庫段327-1地號,271.6,都市：其他:保護區,,,1141203,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5540558,20400,,0.0,0,協議價購；,RPXUMLLLMHLGFCE66DA,0.0,0.0,0.0,無,0323,高雄市
淡水區,房地(土地+建物)+車位,新北市淡水區義山路一段４０１巷４０號五樓,18.38,住,,,1130709,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150407,149.04000000000002,3,2,2,有,有,14240000,101347,坡道平面,25.8,1750000,預售屋、或土地及建物分件登記案件；,RPXOMLTLMHLGFEF17DA,72.6,0.0,9.33,有,,新北市
淡水區,房地(土地+建物),新北市淡水區學府路２０５巷４號五樓,57.42,住,,,1141208,土地1建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691119,106.55,3,2,2,有,無,8500000,79775,,0.0,0,,RPOOMLSKNHLGFEF78DA,106.55,0.0,0.0,無,,新北市
