link,headline,category,short_description,authors,date
https://www.huffingtonpost.com/entry/what-if-we-were-all-famil_b_5510958.html,What If We Were All Family Generation Changers?,IMPACT,"What if, in doing so, we won't just create new opportunities for ourselves, we'll also uncover ways to create new opportunities for our families that may not have otherwise existed?","Matt Murrie, ContributorEdupreneur, Cofounder/Chief Curiosity Curator of What If...?",2014-06-20
https://www.huffingtonpost.comhttp://www.washingtonpost.com/business/economy/aol-chief-ignites-firestorm-over-401k-cuts-and-distressed-babies-remark/2014/02/07/2116c03a-9012-11e3-b227-12a45d109e03_story.html,Firestorm At AOL Over Employee Benefit Cuts,BUSINESS,"It should have been a glorious week for AOL chief executive Tim Armstrong. His company’s quarterly earnings, announced Thursday",,2014-02-08
https://www.huffingtonpost.com/entry/time-runs-out-at-main-dakota-access-pipeline-protest-camp_us_58acc6a9e4b04a0b274df548,Dakota Access Protesters Arrested As Deadline Passes To Depart Camp,POLITICS,A few protesters who refused to leave remained at the site Thursday.,"Michael McLaughlin & Josh Morgan, The Huffington Post",2017-02-22
https://www.huffingtonpost.com/entry/one-glimpse-of-these-baby_n_5319015.html,One Glimpse Of These Baby Kit Foxes And You'll Be Hooked,GREEN,,,2014-05-14
https://www.huffingtonpost.com/entry/mens-sweat-pheromone-cooperation_us_5baeb6f0e4b014374e2e5ae6,"Mens' Sweat Pheromone, Androstadienone, Influences Cooperation In Other Men",SCIENCE,"Scientists didn't know if humans played that game as well. But in the last 30 years, they've identified both male and female",Melissa Cronin,2013-06-02
https://www.huffingtonpost.com/entry/sleepover_us_5b9c0b18e4b03a1dcc7bf30b,Summer Sleepover Tips,PARENTING,Here are five ways to get some beauty sleep while hosting a sleepover for your child.,"Marva Soogrim, Contributor
Marvalous Babies",2012-07-25
https://www.huffingtonpost.com/entry/making-goals_us_5b9c788ee4b03a1dcc7ef3c9,End of the Year,WELLNESS,"For a moment, let yourself wonder -- and let your mind wander -- about what you've been a part of this year. All of these things, and more, are things that could offer you an opportunity to improve your performance.","Jason W. Womack, Contributor
Author, Advisor",2012-11-04
https://www.huffingtonpost.com/entry/maybe-colleges-should-take-a-lesson-from-zoos_us_591325eee4b0e070cad70a9b,Maybe Colleges Should Take A Lesson From Zoos,SCIENCE,"By Michael Preston, UCF Forum columnist What would it take to create a more learning-efficient campus? What elements must","University of Central Florida Forum, ContributorThe UCF Forum is a weekly series of opinion columns presented ...",2017-05-10
https://www.huffingtonpost.com/entry/stephanie-seymour-photo-sons_us_5b9ddb44e4b03a1dcc8dc9ec,Supermodel Stephanie Seymour Does Sexy Photo Shoot...With Her Sons (PHOTO),STYLE & BEAUTY,"In particular, Seymour remembers the way the boys used to dress her up. ""When they were little, they would lay out outfits",Chanel Parks,2014-02-10
https://www.huffingtonpost.com/entry/american-attitudes-about-guns-have-become-much-more-positive-but-why_us_597a1afae4b02a8434b4cb25,"American Attitudes About Guns Have Become Much More Positive, But Why?",POLITICS,"When I was a kid growing up in Washington, D.C. during the 1950s, my two favorite places to visit were the NRA Museum and","Mike Weisser, ContributorMike the Gun Guy",2017-07-27
https://www.huffingtonpost.com/entry/carl-bernstein-clinton-emails_us_5814eeace4b0990edc31a2be,Carl Bernstein: No Way Is Clinton Email Investigation 'Bigger Than Watergate',POLITICS,"He said this news is in a ""different league.""",Paige Lavender,2016-10-29
https://www.huffingtonpost.com/entry/nc-school-official-wants-kids-to-carry-pepper-spray-in-trans-friendly-bathrooms_us_573259a1e4b016f378977bc0,NC Official Changes Stance On Pepper Spray In Trans-Friendly School Bathrooms (UPDATE),QUEER VOICES,"""Perverts and pedophiles taking advantage of this law in bathrooms was my major concern,"" Chuck Hughes said.",Nina Golgowski,2016-05-11
https://www.huffingtonpost.com/entry/6-tips-that-could-help-yo_b_7725742.html,6 Tips That Could Help Your Student Loan Repayment,EDUCATION,Finding ways to help save on your student loan repayment can save a lot of time and stress when managing your student loans. Take the time to clarify these commonly misunderstood repayment strategies.,"Stephen Dash, ContributorStudent loan expert, CEO of Credible",2015-07-04
https://www.huffingtonpost.com/entry/north-koreas-slur-of-pres_b_6386960.html,North Korea's Racial Slur of President Obama Is Business as Usual,BLACK VOICES,"It's hardly the first time that some official or official source in North Korea has gotten caught with its racial dirty linen waving. The verbal war is the outcrop of the deep suspicion, distrust, antagonism, and confrontation that's characterized relations between the U.S. and North Korea for decades.","Earl Ofari Hutchinson, ContributorAuthor and political analyst",2014-12-28
https://www.huffingtonpost.com/entry/rachel-ryle-instagramming-the-world_n_5836508.html,"If This Isn't The Most Charming Way To Travel, We Don't Know What Is",TRAVEL,,Kate Auletta,2014-09-21
https://www.huffingtonpost.com/entry/why-women-stay-in-bad-mar_us_5b9d9799e4b03a1dcc89e7ed,Why Women Stay in Bad Marriages,DIVORCE,"Few people ""want"" to get divorced. It can be incredibly difficult and painful. As a result, an extraordinary amount of women remain in marriages that are unhealthy and even border on dysfunctional.","GalTime, Contributor
Contributor",2013-10-14
https://www.huffingtonpost.com/entry/grance-gay-marriage_us_5bafb43de4b0ad769260647b,"As France Prepares for Marriage Equality, Opponents Warn of Civil Strife",QUEER VOICES,"The French people strongly endorse same-sex marriage, and support for the right of married gay and lesbian couples to adopt children sits just shy of 50 percent. But the push for equality in France has an ugly underbelly.","John Becker, Contributor
LGBT civil rights advocate",2013-04-14
https://www.huffingtonpost.com/entry/happiness-depression_b_6609116.html,What You Need To Know About Happiness And Depression,HEALTHY LIVING,"Thanks to the research of Rottenberg and others, however, we are beginning to discover that many of our previous assumptions about depression are dead wrong. Here's what we're learning.","Kathleen Smith, ContributorLicensed therapist and licensed fangirl",2015-02-07
https://www.huffpost.com/entry/bc-us-biden-putin-call_n_61cc9fcce4b04b42ab70dffd,"Biden, Putin To Hold Call Over Stepped Up Security Demands",POLITICS,President Joe Biden and Vladimir Putin will speak Thursday as the Russian leader has stepped up his demands for security guarantees in Eastern Europe.,"Aamer Madhani, AP",2021-12-29
https://www.huffingtonpost.com/entry/anna-dello-russo-hm-hat-video_us_5b9c6b7de4b03a1dcc7e8152,"Is The Anna Dello Russo For H&M Hat Practical For Everyday Wear? (VIDEO, POLL)",STYLE & BEAUTY,It takes a special kind of girl to sport a stuffed bird hat.,Dana Oliver,2012-10-22
https://www.huffingtonpost.com/entry/egg-cooking-gadgets_us_57ed2c11e4b024a52d2d3139,The Egg Gadgets That Will Make Your Mornings Easier,TASTE,We all deserve a little ease with our breakfast.,Julie R. Thomson,2016-09-30
https://www.huffingtonpost.comhttp://thehill.com/blogs/on-the-money/banking-financial-institutions/284461-wall-street-watchdogs-will-feel-sequesters-bite-,Watchdogs Fear Sequester's Bite: 'We Can't Do The Things We're Here To Do',BUSINESS,The federal government's Wall Street watchdogs will feel the pinch of sequestration if Washington lawmakers cannot strike,,2013-02-23
https://www.huffingtonpost.com/entry/hong-kong-escalator-reversing_us_58d90d28e4b03692bea7ab96,18 Injured When Hong Kong Escalator Suddenly Reverses At High Speed,THE WORLDPOST,Two mechanics have been arrested in connection with the incident.,Steven Hoffer,2017-03-27
https://www.huffingtonpost.comhttp://abcnews.go.com/Politics/wireStory/trump-potential-gop-convention-battle-38796105,Trump To Get Outside Help For Potential GOP Convention Battle,POLITICS,"Donald Trump has a Plan B if he's faced with a contested convention, and it involves the sort of outside groups that he's",,2016-05-01
https://www.huffingtonpost.com/entry/blended-family-friday_us_5b9d2005e4b03a1dcc84accd,Blended Family Friday: Meet Anessa And Keith's Family,DIVORCE,"As part of our Blended Family Friday series, each week we're spotlighting a different stepfamily to learn how they successfully",,2013-05-03
